[pc 0xffffffff9ada83ee] write to offset 40cf30 addr 4840cf30, size 8
[pc 0xffffffff9ada83f3] write to offset 40cf38 addr 4840cf38, size 8
[pc 0xffffffff9ada83c1] write to offset 40cf40 addr 4840cf40, size 8
[pc 0xffffffff9ada83c5] write to offset 40cf48 addr 4840cf48, size 8
[pc 0xffffffff9ada83ca] write to offset 40cf50 addr 4840cf50, size 8
[pc 0xffffffff9ada83cf] write to offset 40cf58 addr 4840cf58, size 8
[pc 0xffffffff9ada83e4] write to offset 40cf60 addr 4840cf60, size 8
[pc 0xffffffff9ada83e9] write to offset 40cf68 addr 4840cf68, size 8
[pc 0xffffffff9ada83ee] write to offset 40cf70 addr 4840cf70, size 8
[pc 0xffffffff9ada83f3] write to offset 40cf78 addr 4840cf78, size 8
[pc 0xffffffff9ada83c1] write to offset 40cf80 addr 4840cf80, size 8
[pc 0xffffffff9ada83c5] write to offset 40cf88 addr 4840cf88, size 8
[pc 0xffffffff9ada83ca] write to offset 40cf90 addr 4840cf90, size 8
[pc 0xffffffff9ada83cf] write to offset 40cf98 addr 4840cf98, size 8
[pc 0xffffffff9ada83e4] write to offset 40cfa0 addr 4840cfa0, size 8
[pc 0xffffffff9ada83e9] write to offset 40cfa8 addr 4840cfa8, size 8
[pc 0xffffffff9ada83ee] write to offset 40cfb0 addr 4840cfb0, size 8
[pc 0xffffffff9ada83f3] write to offset 40cfb8 addr 4840cfb8, size 8
[pc 0xffffffff9ada83c1] write to offset 40cfc0 addr 4840cfc0, size 8
[pc 0xffffffff9ada83c5] write to offset 40cfc8 addr 4840cfc8, size 8
[pc 0xffffffff9ada83ca] write to offset 40cfd0 addr 4840cfd0, size 8
[pc 0xffffffff9ada83cf] write to offset 40cfd8 addr 4840cfd8, size 8
[pc 0xffffffff9ada83e4] write to offset 40cfe0 addr 4840cfe0, size 8
[pc 0xffffffff9ada83e9] write to offset 40cfe8 addr 4840cfe8, size 8
[pc 0xffffffff9ada83ee] write to offset 40cff0 addr 4840cff0, size 8
[pc 0xffffffff9ada83f3] write to offset 40cff8 addr 4840cff8, size 8
[pc 0xffffffff9ada845e] mfence or sfence
[pc 0xffffffff9a70f1f5] write to offset 401290 addr 48401290, size 8
[pc 0xffffffff9a716fd1] write to offset 1e80 addr 48001e80, size 8
[pc 0xffffffff9a716fdb] write to offset 1e88 addr 48001e88, size 4
[pc 0xffffffff9a71723b] write to offset 1e8f addr 48001e8f, size 1
[pc 0xffffffff9a71724d] write to offset 1e8e addr 48001e8e, size 1
[pc 0xffffffff9a717293] mfence or sfence
[pc 0xffffffff9a717296] write to offset 1e8e addr 48001e8e, size 1
[pc 0xffffffff9a7172ad] write to offset 1e8c addr 48001e8c, size 2
[pc 0xffffffff9a715c6e] mfence or sfence
[pc 0xffffffff9a422a64] mfence or sfence
[pc 0xffffffff9a716cff] write to offset 90 addr 48000090, size 4
[pc 0xffffffff9a716fd1] write to offset 1f40 addr 48001f40, size 8
[pc 0xffffffff9a716fdb] write to offset 1f48 addr 48001f48, size 4
[pc 0xffffffff9a71723b] write to offset 1f4f addr 48001f4f, size 1
[pc 0xffffffff9a717101] write to offset 1f50 addr 48001f50, size 8
[pc 0xffffffff9a71710d] write to offset 1f78 addr 48001f78, size 8
[pc 0xffffffff9a717128] write to offset 1f58 addr 48001f58, size 8
[pc 0xffffffff9a717128] write to offset 1f60 addr 48001f60, size 8
[pc 0xffffffff9a717128] write to offset 1f68 addr 48001f68, size 8
[pc 0xffffffff9a717128] write to offset 1f70 addr 48001f70, size 8
[pc 0xffffffff9a717128] write to offset 1f78 addr 48001f78, size 8
[pc 0xffffffff9a717030] write to offset 1f4e addr 48001f4e, size 1
[pc 0xffffffff9a7172fe] write to offset 1f4e addr 48001f4e, size 1
[pc 0xffffffff9a717062] write to offset 1f4c addr 48001f4c, size 2
[pc 0xffffffff9a7170bb] mfence or sfence
[pc 0xffffffff9a70f265] write to offset 401298 addr 48401298, size 4
[pc 0xffffffff9a70f26e] write to offset 40129c addr 4840129c, size 4
[pc 0xffffffff9a70dc1e] write to offset 4012a8 addr 484012a8, size 8
[pc 0xffffffff9a716fd1] write to offset 1f80 addr 48001f80, size 8
[pc 0xffffffff9a716fdb] write to offset 1f88 addr 48001f88, size 4
[pc 0xffffffff9a71723b] write to offset 1f8f addr 48001f8f, size 1
[pc 0xffffffff9a717101] write to offset 1f90 addr 48001f90, size 8
[pc 0xffffffff9a71710d] write to offset 1f90 addr 48001f90, size 8
[pc 0xffffffff9a717030] write to offset 1f8e addr 48001f8e, size 1
[pc 0xffffffff9a717062] write to offset 1f8c addr 48001f8c, size 2
[pc 0xffffffff9a7170bb] mfence or sfence
[pc 0xffffffff9a70ddea] write to offset 406038 addr 48406038, size 8
[pc 0xffffffff9ada83c1] write to offset 40d000 addr 4840d000, size 8
